product_name,SKU,Product Barcode/ASIN/EAN,price,quantity
MESH PLASTIC WASTE BIN WHITE,AM4872,5015302448721,0.76,48
SUPER JUMBO ACTIVITY BOOK VAT FREE,T4052,5013922040523,0.68,12
COLOURING AND STICKER BOOK 3 DESIGNS VAT FREE,T4042,5013922040424,0.68,12
A4 ARTISTS SKETCH PAD 40 SHEET ASSORTED,T5682,5013922056821,0.63,12
ARTISTS CANVAS BOARD IN WOODEN FRAME 10 X 8'',T5140,5013922051406,1.03,10
DID RUBBER PLUNGER WITH PLASTIC HANDLE BLACK 50CM,CL4759,5056338347596,0.63,24
SKETCHING PENCILS 12 PACK,T5147,5013922051475,0.63,12
RM EXTRA HEAVY DUTY 180G 10PK BLACK REFUSE SACKS 115L,RS10HD-30,-,1.21,30
RM EXTRA HEAVY DUTY 110G 20PK BLACK REFUSE SACKS 110L 30 ROLLS IN A BOX,RS20-30,-,1.21,30
SHRINK-WRAPPED SANDING PAD 6 PACK,0052PADS6,5027785810346,0.62,16
COLOUR CHANGING EGG TIMER,O306661,5055257854123,0.58,24
EVERY CHEF ROUND CAKE TIN 8'',O312002,5055566920083,0.62,24
TARPAULIN BLUE/GREEN 3.5M X 5.4M,T4-70,5025918001210,6.04,10
SQUARE BOWL GRAPHITE 7L,THW12-G,5022092001616,0.89,10
ROUND BOWL GRAPHITE 8L,THW16-G,5022092001647,0.89,10
ROUND BOWL SILVER 8L,THW16-S,5022092001371,0.89,10
RECTANGULAR WASHING UP BOWL GRAPHITE 11L,THW20-G,5022092001678,0.89,10
RECTANGULAR WASHING UP BOWL GLITTER RED 11L,THW20-R,5022092002255,0.89,10
RECTANGULAR WASHING UP BOWL SILVER 11L,THW20-S,5022092001401,0.89,10
ROUND BUCKET GRAPHITE 13L,THW22-G,5022092001708,1.21,10
ROUND BUCKET SILVER 13L,THW22-S,5022092001357,1.21,10
MOP BUCKET GRAPHITE 15L,THW33-G,5022092001791,2.05,12
PLASTIC STORAGE BOX WITH LID MINI 6LTR,TML106BL,5022092001067,1,10
PLASTIC STORAGE BOX WITH LID SMALL 14LTR,TML113BL,5022092001098,1.88,10
PLASTIC STORAGE BOX WITH LID MAXI 30LTR,TML130-BL,5022092001258,2.89,10
PLASTIC STORAGE BOX WITH LID EXTRA LARGE 70 LTR,TML170BL,5022092003320,5.88,10
CLIPPY PLASTIC STORAGE BOX 3.5LTR CLEAR,TML803CL,5022092001159,1.11,48
CLIPPY PLASTIC STORAGE BOX 15LTR CLEAR,TML812CL,5022092001166,2.73,10
CLIPPY PLASTIC UNDER BED BOX WITH BLACK LID 32LTR,TML833BL,5022092002347,3.61,10
TARPAULIN BLUE/GREEN 2.7M X 3.5M,T2-70,5025918001203,3.03,10
DELUXE LARGE CUTLERY TRAY GRAPHITE,THW29-G,5022092001739,1.04,24
DELUXE LARGE CUTLERY TRAY GLITTER RED,THW29-R,5022092002279,1.04,24
LARGE DISH DRAINER SILVER,THW31-S,5022092001326,0.95,24
ROUND LAUNDRY BASKET SILVER,THW37-S,5022092001418,1.21,10
ROUND BUCKET GRAPHITE 5L,THW71-G,5022092003573,0.89,10
JOLLY BIN LILAC 5L,THW72-LILAC,5022092003733,0.89,10
FLEXI STORAGE BIN SILVER 10L,THW77-SILVER,5022092005843,1.1,10
FLEXI STORAGE BIN LIME 10L,THW77-LIME,5022092003405,1.1,10
FLEXI STORAGE BIN TAUPE 10 LITRE,THW77-TAUPE,5022092004723,1.1,10
ROUND BUCKET GLITTER RED 13L,THW22-R,5022092002262,1.21,10
MOP BUCKET GLITTER RED 15L,THW33-R,50220920011800,2.05,12
LARGE GYM WATER JUG BOTTLE 2.2 LITRE,AM2116,5015302421168,3.34,12
UNICORN MONEY TINS,UNI001,5060195622246,0.68,12
LARGE 3 DRAWER TOWER WITH FEET BLACK,TML3300-BLK,5022092001036,12.76,2
HEAVY DUTY YELLOW BUILDERS BUCKET 14L,THW58-Y,5022092007014,1.56,10
1 LITRE MEASURING JUG,O321400,5055566909385,0.58,24
CERAMIC WAX & OIL BURNER,O317094,5055566999041,0.61,24
FARMHOUSE JAR CANDLES,O317078,5055566998662,0.75,24
SMALL CUTLERY TRAY SILVER,THW25-S,5022092008011,0.89,10
SMALL CUTLERY TRAY GRAPHITE,THW25-G,5022092008028,0.89,10
ENGINEER MAINTENANCE ROLE PLAY SET,TY4207-20,6923450663943,2.29,6
WOAF HB RUBBER PENCILS TUBE 12 PACK,CC801,-,0.37,6
KINESIOLOGY SPORTS TAPE,O317353,5056175904358,0.63,24
PLASTIC UNDERBED STORAGE BOX WITH LID 28LTR,TML126BL,5022092001104,3.05,10
PLASTIC STORAGE BOX WITH LID LARGE 35LTR,TML135,5022092001111,3.83,10
PLASTIC STORAGE BOX WITH LID MEDIUM 24LTR,TML124BL,5022092001005,2.57,10
